metric,pattern,n,median,mean,iqr,min,max
CBO,MVP,6,6.5,6.667,4.0,3.0,11.0
CBO,MVVM,12,10.5,12.25,6.0,5.5,22.0
CBO,MVI,10,11.0,11.45,6.875,3.0,19.5
LCOM,MVP,6,0.846,0.897,0.182,0.639,1.35
LCOM,MVVM,11,0.908,0.978,0.1,0.817,1.667
LCOM,MVI,9,0.972,1.017,0.071,0.655,1.5
WMC,MVP,6,5.0,6.0,5.0,3.0,11.0
WMC,MVVM,12,12.5,17.583,11.875,1.0,84.0
WMC,MVI,10,4.0,7.8,8.125,2.0,21.0
median_commits_per_month,MVP,6,0.115,0.226,0.35,0.037,0.561
median_commits_per_month,MVVM,12,0.156,0.238,0.132,0.012,1.289
median_commits_per_month,MVI,10,0.155,0.288,0.106,0.086,1.415
median_churn_per_sloc,MVP,6,2.254,2.597,1.542,1.242,4.165
median_churn_per_sloc,MVVM,12,2.659,2.878,1.586,1.114,5.84
median_churn_per_sloc,MVI,10,2.091,2.569,0.75,1.241,8.456
